PrimaryPropertyType,Latitude,Longitude,YearBuilt,NumberofFloors,PropertyGFABuilding(s),SiteEnergyUseWN(kBtu),TotalGHGEmissions,pct_electricity,pct_steam
Warehouse,47.58365,-122.33467,1926,7,144050,4347677.0,98.43,0.5496785984791418,0.0
Office,47.58252,-122.33465,1930,3,60592,5107519.5,47.25,0.9375224118087068,0.0
Retail,47.57842,-122.33558,1993,1,107930,7589347.5,100.42,0.8085139071573676,0.0
Warehouse,47.57096,-122.3355,1926,1,99084,1838287.25,49.25,0.4325156473777425,0.0
Warehouse,47.56676,-122.35247,1953,1,72719,2774363.5,42.74,0.737262799197005,0.0
Office,47.59534849,-122.327269,1930,4,76624,3166841.75,33.41,0.7794980598572695,0.0
Office,47.66158,-122.31625,2001,6,55123,8570571.0,59.75,0.9999998833216597,0.0
Office,47.56787,-122.36419,1991,5,121885,8381834.5,58.43,0.9999998210415632,0.0
Retail,47.56664,-122.32346,1973,1,56572,2540840.5,67.29,0.5175787303453325,0.0
Office,47.61077,-122.3361,1926,6,97720,2478025.25,17.28,0.9999998991132153,0.0
Office,47.60649,-122.31121,1987,7,94500,5739540.0,40.38,1.0093012680458713,0.0
Retail,47.53655,-122.36377,2005,1,94713,5820712.5,94.74,0.7186235362079814,0.0
Office,47.60707,-122.3288,2008,9,201560,14802479.0,130.32,0.9562903619049214,0.0
Office,47.60353,-122.33558,1900,6,205521,8455976.0,282.46,0.5115905012029363,0.24463961936505024
Office,47.60197,-122.33437,1900,6,56700,3065954.5,21.37,0.9999998369186497,0.0
Office,47.59554,-122.32471,1925,4,72000,2739121.5,23.48,0.9611077858357141,0.0
Office,47.63347,-122.34078,2000,4,96254,5101504.5,35.56,0.9999999019896973,0.0
Other,47.56797,-122.36711,2001,3,57236,9596839.0,310.19,0.38249698676824734,0.0
Other,47.62476,-122.35521,1994,2,81336,13360349.0,270.17,0.6891120134661153,0.0
Other,47.61234,-122.34897,1983,6,78852,5233553.5,36.49,0.999999904462618,0.0
Office,47.62497,-122.35965,1982,5,98668,4395027.0,30.61,0.9991629175429412,0.0
Office,47.57639,-122.32072,2007,1,130550,9336260.0,98.54,0.8502599542000758,0.0
Retail,47.63284,-122.37712,1978,1,50660,2956254.5,60.7,0.5912799456203788,0.0
Office,47.63156,-122.37551,1937,2,61929,2421613.25,55.73,0.5484170521448873,0.0
Office,47.61588,-122.34965,1925,3,20565,830100.0,5.59,0.9665245151186604,0.0
Office,47.62175,-122.36313,2000,5,103966,7857972.5,54.78,0.9999999363703551,0.0
Office,47.62101,-122.36188,2008,5,137201,14856199.0,103.57,0.9999999326880314,0.0
Office,47.61891,-122.35958,1986,5,129362,5799664.5,116.74,0.6581899694370252,0.0
Office,47.61813,-122.35833,1986,7,197203,12729858.0,88.74,0.9999998428890566,0.0
Office,47.614,-122.35375,1993,3,187130,10445641.0,70.09,0.9624577371556231,0.0
Warehouse,47.60703,-122.34038,1912,5,154330,1411471.75,8.8,0.8942686950695259,0.0
Office,47.60604,-122.33948,1918,6,93555,4682152.5,50.17,0.9074710830114995,0.0568674343691283
Office,47.6047,-122.33739,1905,6,167860,7046428.5,47.39,0.9646938161651679,0.0
Office,47.60247,-122.33621,1910,6,112560,5268183.0,97.82,0.6784160686900967,0.0
Retail,47.60223,-122.33602,1910,6,86204,3350477.0,69.02,0.6673375164193038,0.0
Warehouse,47.5829,-122.32417,1985,2,145158,8615958.0,119.46,0.8196578952682917,0.0
Office,47.58716,-122.32214,1951,2,112896,10622784.0,157.48,0.7935009315825305,0.0
Warehouse,47.58685,-122.32501,1960,1,110613,1015060.188,7.08,0.9999998147893079,0.0
Warehouse,47.58553,-122.32511,1951,4,149881,2869350.25,95.86,0.24572078643936898,0.0
Warehouse,47.58042,-122.32552,1951,3,98220,6562048.5,75.29,0.8859414861075775,0.0
Warehouse,47.58096,-122.32313,1970,1,84420,2882685.0,19.86,0.9880777816514812,0.0
Warehouse,47.57055,-122.3267,1961,1,73335,5459973.5,155.74,0.4774453575644644,0.0
Warehouse,47.5794,-122.32848,1928,2,56876,2015776.625,48.5,0.5016840593634724,0.0
Warehouse,47.58241,-122.32866,1931,2,61200,5285776.5,178.62,0.33730181365027445,0.0
Warehouse,47.58772,-122.32686,1987,1,111908,1667059.125,34.14,0.6301564139184326,0.0
Other,47.5908,-122.32828,1986,2,63644,7448018.0,168.5,0.5696429573612738,0.0
Other,47.59439,-122.32839,1930,2,89893,3714717.25,25.37,0.9797973183557914,0.0
Retail,47.69197,-122.35877,1970,1,106345,17384564.0,293.56,0.7507706261715853,0.0
Office,47.6633,-122.37549,2001,4,71037,4817062.0,33.58,1.0,0.0
Warehouse,47.6592,-122.38437,1974,3,56259,2685146.5,86.9,0.30452602865430245,0.0
Office,47.64912,-122.34823,2008,4,113768,8873485.0,61.86,0.9999998873047061,0.0
Office,47.64932,-122.35187,2000,2,51374,5481549.0,38.21,0.9999998175698147,0.0
Office,47.62817,-122.34212,1998,5,110524,6859198.0,47.82,0.9999998542103611,0.0
Office,47.62225,-122.35915,2000,7,157186,8732968.0,68.06,0.9719939429527281,0.0
Office,47.61949,-122.35639,1974,5,84210,5034942.5,65.03,0.806220726453182,0.0
Office,47.61472,-122.35566,1902,3,76893,12289373.0,260.13,0.6679966504393674,0.0
Office,47.61732,-122.34791,1975,8,126370,9836703.0,119.93,0.8291134743012979,0.0
Office,47.61628,-122.33391,1953,7,274362,16572684.0,147.82,0.9555515570079053,0.0
Office,47.61599,-122.34165,1983,15,261722,18235512.0,246.83,0.8271394847591885,0.0
Office,47.61481,-122.33969,1963,11,169020,12019477.0,346.62,0.5998176958947549,0.2402405071368746
Office,47.61418,-122.33485,1981,19,293737,16228155.0,110.7,0.9784653276974493,0.0
Retail,47.61203,-122.33486,1929,4,78920,8303666.5,109.85,0.864358654095754,0.0
Other,47.61505,-122.32,1908,4,55520,3904791.25,150.88,0.2494133329150438,0.0
Office,47.61036,-122.34037,1908,10,132998,4040138.75,133.8,0.5555519596944536,0.3788683309453172
Retail,47.60956,-122.33715,1940,3,83118,2533838.5,27.82,0.8719652022021135,0.0
Retail,47.60925,-122.33734,1924,3,77555,7802205.5,54.4,0.9999803260757487,0.0
Office,47.60765,-122.34097,1909,6,51218,2886141.5,20.12,0.9999998267583208,0.0
Office,47.60576,-122.33922,1910,7,122356,4675881.5,41.8,0.9349712989946387,0.0
Office,47.60366,-122.33328,1921,3,52298,2038746.5,13.72,0.9656202965891051,0.0
Office,47.60304,-122.33362,1911,17,116640,7066534.5,169.06,0.7106614989285059,0.2457570432862105
Office,47.60663,-122.32157,1988,5,89025,8588643.0,89.41,0.9167456372327969,0.0
Education,47.6094,-122.31506,1916,2,60122,745830.3125,9.31,0.7951259020462513,0.0
Office,47.5981,-122.33369,1910,6,81300,4269199.5,31.43,0.9331566725799533,0.0
Office,47.59878,-122.33088,1998,8,321473,13568148.0,94.59,0.9999998525959475,0.0
Other,47.59273,-122.33455,1939,2,58492,1849863.625,51.56,0.38803184748281105,0.0
Office,47.58958,-122.33369,1907,6,62370,4353025.0,30.35,0.999999770274694,0.0
Warehouse,47.58454,-122.3269,1960,1,73296,2709055.0,73.58,0.41253389096936016,0.0
Other,47.5829,-122.32417,1944,4,99122,14522162.0,179.45,0.8790790241838646,0.0
Other,47.58251,-122.32528,1985,1,66133,6528948.0,89.94,0.8201045558947628,0.0
Warehouse,47.57613,-122.33864,1952,2,115668,3847929.5,111.23,0.4308641829326655,0.0
Other,47.56301,-122.32564,1970,1,141686,6837936.0,46.52,0.9758993064573871,0.0
Office,47.55695,-122.33176,1950,1,93610,6612733.0,152.28,0.586407768164842,0.0
Office,47.55238,-122.32762,1973,2,156188,7181600.0,60.92,0.9130947142698006,0.0
Warehouse,47.54923,-122.32446,1966,1,115620,1951856.25,13.61,0.9999998719167972,0.0
Office,47.54699,-122.32882,1975,5,238148,10775646.0,75.12,0.9999999071981392,0.0
Warehouse,47.54326,-122.33134,1969,1,71718,151754.2969,1.06,0.9999980435479848,0.0
Warehouse,47.53628,-122.3329,1969,1,55450,4843056.0,131.64,0.443768769140807,0.0
Warehouse,47.52549,-122.33064,1979,1,54880,3013861.5,89.53,0.41169376894060994,0.0
Retail,47.52222,-122.36892,1992,1,102500,7728856.5,158.55,0.643416396720524,0.0
Other,47.66478,-122.29804,2002,6,88498,9158207.0,119.92,0.8367996049881816,0.0
Retail,47.57903,-122.29982,1963,1,50785,7593035.0,195.43,0.5699071583365545,0.0
Other,47.70911,-122.32529,2000,5,283435,11077140.0,99.14,0.9571199786226409,0.0
Other,47.59937,-122.33116,1902,4,73320,1315191.375,29.16,0.5183139221848988,0.0
Office,47.6252,-122.36737,2008,4,142510,9683979.0,67.51,0.9999998967366617,0.0
Office,47.5992,-122.33223,1900,6,79920,5587502.5,74.45,0.8221667909768273,0.0
Warehouse,47.56733,-122.3352,1946,1,179413,3459543.0,24.12,0.9999997109444803,0.0
Warehouse,47.57513,-122.33739,1917,1,65288,605971.1875,4.22,0.9999996905793479,0.0
Warehouse,47.5725,-122.3571,1966,1,170632,622185.6875,4.2,0.9679505846877906,0.0
Office,47.60214,-122.32726,2009,17,275166,13631141.0,95.03,0.9999999266385697,0.0
Other,47.6586,-122.3124,2009,6,68100,5034998.5,79.39,0.7706246585773561,0.0
Retail,47.66246,-122.29898,1956,2,93803,5561522.5,110.41,0.6984301510962151,0.0
Warehouse,47.51304,-122.28394,1966,2,123000,3004271.0,20.94,1.0,0.0
Office,47.6056366,-122.3214798,2003,5,162150,9941308.0,69.3,0.9999998994096149,0.0
Warehouse,47.51168,-122.28285,1978,1,60448,1167543.25,27.24,0.5317601724818332,0.0
Other,47.61915,-122.35871,1928,4,62600,12637976.0,406.04,0.31896942991504335,0.0
Other,47.60453796,-122.3203278,2004,4,55800,2740574.75,20.85,0.9504513606133166,0.0
Office,47.60796711,-122.3195445,1990,5,130262,12814944.0,133.5,0.9177995627604771,0.0
Other,47.6993,-122.32378,1987,5,90266,7947933.5,54.18,0.9778558162319803,0.0
Warehouse,47.6582,-122.36434,2004,4,80874,1185468.125,14.49,0.8668718950161566,0.0
Other,47.62147,-122.34817,1999,5,141718,19009360.0,341.23,0.7666307019278924,0.0
Hospitality,47.62562,-122.35121,2008,5,90583,9495641.0,278.97,0.5081538992470335,0.0
Warehouse,47.61818,-122.31728,1988,4,132828,1083729.625,7.56,0.9999994232878888,0.0
Warehouse,47.53935,-122.34402,1970,1,70400,14128860.0,284.01,0.7018957651218852,0.0
Retail,47.71417,-122.34256,1995,1,101830,11474490.0,295.12,0.5172661268605402,0.0
Education,47.5997,-122.30364,1974,4,114000,7575080.0,109.71,0.8371944586723836,0.0
Warehouse,47.57311,-122.3601,1965,1,152365,1088167.75,13.07,0.871379435753357,0.0
Retail,47.54862,-122.32272,1958,1,74178,5617868.0,134.82,0.5867571114166442,0.0
Warehouse,47.70799,-122.30185,1987,4,80360,755287.5,16.27,0.578612779901693,0.0
Retail,47.61318,-122.32122,1996,3,119190,10434333.0,267.0,0.5571421766968717,0.0
Other,47.59394,-122.32452,2008,2,51856,1935438.625,13.51,1.0016401320915045,0.0
Other,47.58718,-122.33467,1921,3,53552,7070998.5,49.29,0.9999999292886288,0.0
Other,47.64859,-122.33311,2000,3,56986,2090011.625,25.6,0.8345403341955095,0.0
Worship Facility,47.67738,-122.28996,1957,2,22220,891251.5,31.74,0.23344701243139562,0.0
Other,47.54437,-122.30863,1962,1,44700,2173092.25,30.52,0.7776807450304974,0.0
Warehouse,47.54137,-122.33051,1976,1,44100,1692054.125,11.29,0.9567755404987415,0.0
Warehouse,47.54113,-122.32633,1965,1,27800,1337789.75,24.39,0.6582536605621324,0.0
Warehouse,47.55436,-122.33631,2001,1,46340,2564004.0,17.87,1.0,0.0
Other,47.54134,-122.30529,1994,1,22800,2660376.75,101.5,0.1345749243974561,0.0
Office,47.60191,-122.31438,1910,3,38460,2064345.875,36.02,0.7095075576906413,0.0
Worship Facility,47.68576,-122.35481,1922,2,21022,1078904.0,43.84,0.12781674736584533,0.0
Warehouse,47.51127,-122.281,1967,1,48001,2495909.5,86.46,0.23782112292132387,0.0
Warehouse,47.51399,-122.27946,1979,1,26380,526955.3125,3.58,0.9648180556107402,0.0
Warehouse,47.51018,-122.28192,1969,1,37351,2832228.5,77.04,0.45069174326859573,0.0
Warehouse,47.51127,-122.281,1981,1,30375,345866.6875,2.41,1.0000009035273165,0.0
Warehouse,47.51104,-122.28245,1979,1,30004,369291.5,2.57,0.999998646056029,0.0
Worship Facility,47.68164,-122.3753,1914,2,33589,606874.5,21.93,0.18393588789774493,0.0
Office,47.66587,-122.38476,1979,3,43500,3220635.25,22.65,0.9986837224115956,0.0
Other,47.61597,-122.33086,1946,2,22588,7251589.0,50.55,0.9999998620991896,0.0
Retail,47.59692,-122.31543,1917,2,147545,7339108.0,169.75,0.5632169468006194,0.0
Other,47.68339,-122.31947,1923,2,21462,1207838.75,7.77,0.9226264681440299,0.0
Other,47.67713,-122.35398,1917,2,28072,1587238.0,63.48,0.12123953685584644,0.0
Other,47.61468,-122.34925,1955,2,31020,5231756.5,207.6,0.23349729674918931,0.0
Office,47.61402,-122.35016,1917,2,21600,1636649.125,29.62,0.7588584388849993,0.0
Office,47.6158,-122.35126,1974,5,48505,4673727.5,141.2,0.4098867552718895,0.0
Office,47.61683,-122.35176,1942,3,64630,1408291.375,9.82,0.9999997337198774,0.0
Worship Facility,47.61636,-122.35094,1948,2,20920,1208581.375,42.19,0.23585255068157907,0.0
Retail,47.72736,-122.34579,1968,1,48139,959683.125,24.02,0.4880798544832181,0.0
Worship Facility,47.56633,-122.38725,1949,2,21364,1110209.25,43.8,0.14611659919064807,0.0
Education,47.61741,-122.33491,1992,2,28923,508430.5938,15.27,0.34374013312965196,0.0
Education,47.61789,-122.33573,1928,3,21600,359207.1875,6.33,0.6557385492182002,0.0
Retail,47.6646,-122.29932,1996,1,25735,1245673.0,18.1,0.7656062224998054,0.0
Retail,47.66246,-122.29898,1956,2,25862,4765879.0,154.17,0.45857710613299246,0.0
Retail,47.66246,-122.29898,2003,2,49965,3424428.0,29.54,0.9482447871586145,0.0
Office,47.6026,-122.33232,1929,2,20028,550668.125,14.22,0.6538511739716185,0.27556071090913425
Office,47.60247,-122.33372,1900,7,23622,575362.5,9.95,0.7297103999652393,0.0
Office,47.60237,-122.33365,1902,3,23563,883197.6875,6.16,1.0000003538279192,0.0
Other,47.60284,-122.33407,1903,3,28600,1167559.75,24.25,0.5976302283459155,0.0
Other,47.60427,-122.33385,1978,2,26160,2249630.25,15.24,0.9717232420750033,0.0
Office,47.60427,-122.33385,1906,5,26840,1997288.75,13.87,0.9959936939513628,0.0
Retail,47.60427,-122.33385,1906,2,46800,1245187.5,8.68,0.9999995984540481,0.0
Office,47.60431,-122.33335,1979,3,37350,2067352.5,14.63,0.9977108403138797,0.0
Office,47.61285,-122.34817,1908,3,28800,1423579.25,28.81,0.6490007493436,0.0
Office,47.6172,-122.34979,1954,3,28584,1817034.125,60.43,0.3542443100786563,0.0
Retail,47.61652,-122.34854,1931,2,26270,1667641.25,33.78,0.6380868786976815,0.0
Office,47.61595,-122.34756,1926,3,49800,2385395.0,16.63,1.0,0.0
Other,47.61543,-122.34651,1954,2,22616,450780.1875,2.92,0.9280532099694377,0.0
Hospitality,47.61471,-122.34525,1990,5,57800,2466522.25,66.29,0.5576414321824991,0.0
Other,47.61319,-122.33695,1955,2,31890,1788951.625,12.95,1.0387223299008994,0.0
Office,47.61267,-122.33852,1925,2,30438,1523175.125,41.69,0.6508627824394125,0.29577840729246413
Other,47.61332,-122.33904,1923,3,22381,3625967.75,126.78,0.36377709095730376,0.0
Retail,47.61812,-122.35509,1925,1,23562,485607.1875,11.14,0.5447180495037462,0.0
Office,47.6146,-122.34217,1952,4,26670,1640803.5,10.83,0.9465941534132515,0.0
Other,47.61607,-122.34449,1922,2,37740,3356598.0,86.02,0.5062751035423366,0.0
Office,47.61768,-122.34139,1965,1,23752,1199844.875,30.33,0.47594319223974685,0.0
Hospitality,47.61822,-122.34132,1967,4,44416,2736926.5,72.78,0.5464315537885288,0.0
Other,47.61634,-122.35385,2006,2,10925,2622096.5,30.6,0.8655989586958375,0.0
Worship Facility,47.66476,-122.35248,1928,2,45991,1297917.25,36.43,0.4075984042896417,0.0
Education,47.66282,-122.305,1921,3,21499,605130.6875,4.22,0.9999988638817793,0.0
Office,47.66461,-122.30142,1989,2,20384,1781798.375,13.91,0.9878323073451002,0.0
Retail,47.66246,-122.29898,1956,2,39265,5322918.5,47.12,0.9410440907558513,0.0
Retail,47.66246,-122.29898,1956,2,54284,6890861.0,63.61,0.9322782740792479,0.0
Retail,47.66246,-122.29898,1956,1,23409,2621259.25,28.41,0.8828451439894776,0.0
Retail,47.66246,-122.29898,1997,1,63153,4670313.0,47.66,0.9234753644991246,0.0
Hospitality,47.66355,-122.30123,1961,2,24100,1640279.375,46.57,0.4986876092372984,0.0
Other,47.61521,-122.33747,1923,3,33600,4712960.5,101.99,0.6240907387193252,0.0
Other,47.61362,-122.33959,1927,4,32356,2013033.75,74.92,0.4841071343190346,0.43845796797992087
Hospitality,47.61798,-122.33974,1960,7,48220,4077797.0,126.3,0.4560965148583904,0.0
Office,47.61524,-122.33519,1978,5,32256,3603400.0,99.15,0.5089909529888439,0.0
Worship Facility,47.67491,-122.33316,1948,2,21393,981916.5,32.64,0.2712644099574658,0.0
Other,47.57256,-122.29265,1990,2,47560,1221954.375,33.23,0.4773467912826123,0.0
Healthcare,47.60897,-122.32507,2006,6,62334,1147752.25,34.98,0.4192263617867009,0.0
Education,47.66159,-122.30441,1930,3,20960,1667310.5,64.51,0.19720382016427054,0.0
Education,47.61679,-122.33619,1910,3,28800,773795.625,8.45,0.8301235872198166,0.0
Education,47.61718,-122.33654,1957,2,21600,1415640.0,38.87,0.4307055466078947,0.0
Education,47.61687,-122.33533,1995,3,22860,990507.3125,6.49,0.9400718078999543,0.0
Worship Facility,47.66516,-122.2738,1972,1,26366,996850.0,32.22,0.32482519937804083,0.0
Worship Facility,47.54362,-122.2667,1965,2,21732,942745.6875,23.59,0.5082590208083025,0.0
Other,47.66835,-122.38886,1945,1,21060,380806.5938,6.69,0.6779767057699515,0.0
Other,47.6684,-122.38788,1960,4,20539,1695247.625,37.31,0.6626919769316887,0.0
Retail,47.66033,-122.31348,1900,3,32960,813641.0,5.67,1.0,0.0
Other,47.66097,-122.3139,1921,3,29636,688641.8125,4.8,1.0000002722750734,0.0
Hospitality,47.66023,-122.31581,1930,3,20571,759756.5,4.99,0.9427744283859368,0.0
Worship Facility,47.65926,-122.31241,1926,2,47992,3518393.25,118.37,0.26547004090574583,0.0
Education,47.65711,-122.31409,1993,3,28572,2759011.75,89.57,0.43028993986705566,0.0
Education,47.60817,-122.32654,1982,15,84240,3042217.25,20.09,0.9474961066636514,0.0
Office,47.64834,-122.33188,2012,2,57619,2641681.75,20.08,0.986367491087827,0.0
Healthcare,47.57188,-122.29531,1981,3,78374,3397766.5,23.15,0.977417076776759,0.0
Other,47.65742,-122.36736,2007,2,38784,1894318.875,26.11,0.8200382842091462,0.0
Other,47.57383,-122.33046,1969,2,41790,2283131.0,33.37,0.7808312357022001,0.0
Office,47.60542,-122.3364,1900,5,39960,2388675.5,49.98,0.5964066697213581,0.0
Warehouse,47.60528,-122.33627,1900,5,33300,90558.70313,0.63,1.000003278205073,0.0
Hospitality,47.60721,-122.33451,1926,11,36240,2390584.0,120.91,0.19089477717578635,0.48444992938963866
Other,47.60781,-122.33186,1922,3,32360,3269279.75,145.48,0.29295779903815206,0.3564503007122593
Other,47.60547,-122.33118,1908,5,41536,2735166.0,19.07,1.0,0.0
Hospitality,47.60223,-122.32889,1909,6,35820,3547995.75,130.58,0.2799746871173676,0.0
Education,47.56542,-122.38502,1922,2,33462,4719841.5,185.23,0.12181341259023211,0.0
Education,47.56504,-122.38455,1965,3,49744,2421669.75,89.29,0.19752858539030765,0.0
Worship Facility,47.56342,-122.38509,1923,2,37816,1565229.75,43.45,0.43621838902563664,0.0
Other,47.5622,-122.38648,1926,2,23315,1490972.375,35.04,0.5359113377268307,0.0
Other,47.56147,-122.38638,1930,2,20700,4345884.5,188.67,0.18896291422379036,0.0
Other,47.56263,-122.38196,1948,1,28397,3563789.75,100.21,0.47048959608237273,0.0
Retail,47.56197,-122.38109,1946,2,25762,1906384.875,13.29,1.0000000655691312,0.0
Other,47.56245,-122.37805,1984,1,33334,6405464.5,210.3,0.3879041090618799,0.0
Office,47.56175,-122.37835,1981,3,43387,2695090.5,34.15,0.8729183676763359,0.0
Other,47.72178,-122.29498,1979,1,39350,267135.0938,1.86,0.9999996488668013,0.0
Other,47.72032,-122.29507,1949,1,22405,3556717.25,134.57,0.31210774485939247,0.0
Other,47.72606,-122.28747,2013,1,32590,1505296.875,43.13,0.42033037502984255,0.0
Warehouse,47.552,-122.32262,1985,1,37500,1908057.875,13.16,0.9433141539273278,0.0
Office,47.60132,-122.30477,1990,2,39000,2654904.25,33.92,0.8569702655001588,0.0
Other,47.56018,-122.38716,1924,1,22180,5211179.5,147.0,0.5127278766736014,0.0
Warehouse,47.58513,-122.30645,1969,1,25920,1212529.75,12.48,0.9348067542260303,0.0
Other,47.58528,-122.30595,1953,1,25480,741287.1875,5.17,0.9999997470615934,0.0
Warehouse,47.58482,-122.30501,1970,2,31000,2315087.75,19.93,0.9575516090048855,0.0
Office,47.58528,-122.305,1961,1,29740,1533262.0,19.82,0.8212523365217426,0.0
Warehouse,47.58607,-122.30445,1954,1,23236,484136.8125,13.02,0.44882767513160343,0.0
Office,47.58579,-122.3034,2009,3,38075,2035301.25,19.04,0.8841010636631801,0.0
Office,47.5859,-122.29957,1970,2,39170,2252219.5,63.06,0.4821177509563344,0.0
Other,47.58476,-122.29765,1977,1,36070,1542945.125,10.05,0.9343592177330351,0.0
Other,47.56979,-122.29234,1963,2,20047,128383.8984,0.82,0.9147408784402514,0.0
Retail,47.57403,-122.3336,1914,1,20000,557863.6875,3.89,1.0000005601726856,0.0
Warehouse,47.5741,-122.32541,1955,2,32400,248616.0,1.73,1.0,0.0
Retail,47.63776,-122.35606,1962,1,25159,9072714.0,247.85,0.5377537526257303,0.0
Other,47.63629,-122.35922,1948,1,27247,2607414.75,83.1,0.3391531784500337,0.0
Warehouse,47.56489,-122.3409,1955,1,26680,243518.2031,1.7,0.9999991659761059,0.0
Warehouse,47.56447,-122.35335,1953,1,31521,1823198.75,61.71,0.39542863881406237,0.0
Warehouse,47.56982,-122.33479,1951,1,24000,1510110.25,46.64,0.28884844666142756,0.0
Other,47.56487,-122.34181,1952,1,21900,1654353.5,65.65,0.06781319711899543,0.0
Warehouse,47.56897,-122.33617,1961,1,38005,800420.6875,10.75,0.7904693242951695,0.0
Warehouse,47.5678,-122.33622,1998,1,35579,1259267.75,39.05,0.3303880370159563,0.0
Warehouse,47.57382,-122.32672,1975,1,49950,238969.7031,1.67,1.0000012424169096,0.0
Worship Facility,47.63927,-122.4032,1947,2,22612,854810.625,31.6,0.1835728235128102,0.0
Other,47.72599,-122.29314,1976,2,38787,3513828.25,67.52,0.6333328898474193,0.0
Other,47.72356,-122.29378,1988,2,50368,897822.875,28.58,0.2758806964012807,0.0
Warehouse,47.55302,-122.33605,1938,1,30545,1861291.25,61.53,0.2588423493636474,0.0
Education,47.63111,-122.35814,1922,3,32691,1095913.75,29.82,0.43112973078401473,0.0
Worship Facility,47.63159,-122.35839,1963,2,24227,1238854.625,47.59,0.17709341804329948,0.0
Warehouse,47.54365,-122.30785,1956,1,27000,735187.125,18.85,0.4640179192474297,0.0
Office,47.64243,-122.32618,1957,2,21183,361542.0938,2.52,0.9999997405557981,0.0
Office,47.64428,-122.32627,1961,3,25558,804510.375,6.18,0.9147041764377495,0.0
Office,47.6465,-122.3252,1985,5,82234,4843339.0,32.8,0.9714240527041366,0.0
Education,47.65014,-122.34424,1988,3,21118,1427645.0,39.5,0.4979802401857605,0.0
Office,47.64868,-122.34254,2013,5,126842,4515744.5,72.26,0.7975369288497168,0.0
Office,47.64866,-122.34509,1900,2,20500,1326178.125,11.27,0.9669387360766488,0.0
Worship Facility,47.67485,-122.29284,1930,2,25521,685885.625,15.47,0.5268866802683028,0.0
Education,47.67485,-122.29284,1986,1,23190,1929416.5,68.14,0.252053405783562,0.0
Office,47.68602,-122.35674,1960,1,20678,875049.6875,32.63,0.20515063608887923,0.0
Education,47.68642,-122.35707,1922,3,28820,2959193.75,106.45,0.23004813388781994,0.0
Education,47.63796,-122.34897,1925,1,48789,1419585.125,29.41,0.6037975355651884,0.0
Healthcare,47.55387,-122.27875,1966,2,41649,7048919.0,235.26,0.3842085573688675,0.0
Warehouse,47.55374,-122.32498,1977,1,22320,462174.4063,3.06,0.9500006794296606,0.0
Other,47.55297,-122.32472,1976,1,47105,10234721.0,348.22,0.4136751749266052,0.0
Office,47.55316,-122.32616,1982,2,40029,1575328.25,10.26,0.9343538402234582,0.0
Office,47.55196,-122.32518,1970,2,28304,1322894.5,8.85,0.9595375897322123,0.0
Other,47.55168,-122.32459,1970,1,26400,452612.5,3.16,0.9999988953022729,0.0
Warehouse,47.55049,-122.32382,1968,1,27680,1918665.75,64.81,0.33482642820929076,0.0
Office,47.55145,-122.32635,1969,2,25872,1853911.875,45.79,0.574312627454312,0.0
Office,47.55127,-122.32576,1969,2,25872,2498335.25,81.96,0.3944454612326348,0.0
Warehouse,47.55127,-122.32576,1969,1,20500,222600.0938,1.55,0.9999995786165298,0.0
Office,47.6557,-122.34682,1958,2,21436,558727.875,3.73,0.9570025479756133,0.0
Other,47.65205,-122.3218,1998,1,20233,690322.6875,18.16,0.4808867012646169,0.0
Office,47.65178,-122.351,2006,4,27526,1039085.375,14.49,0.8176941187339876,0.0
Office,47.64904,-122.34609,1985,3,23307,1214408.75,28.09,0.5660960529146385,0.0
Other,47.61179,-122.3404,1928,6,46580,778702.125,4.95,0.912126700566022,0.0
Retail,47.61165,-122.34011,1916,2,25920,478690.0938,3.34,0.9999998040485876,0.0
Retail,47.61236,-122.34144,1919,2,25920,1046976.813,13.71,0.8285264670899641,0.0
Hospitality,47.61203,-122.34165,1910,8,61721,2968429.75,36.92,0.8538494131451149,0.0
Office,47.61297,-122.34324,1919,2,25920,1945839.625,46.48,0.5434887780127307,0.0
Office,47.61098,-122.32766,1925,4,39760,2741556.25,149.91,0.18683731183702687,0.6345376827486213
Other,47.61109,-122.32721,1920,3,30971,2974354.25,94.85,0.4419688744203889,0.07766031800011716
Office,47.61063,-122.32741,1946,3,22667,4141811.25,148.55,0.4761909418252703,0.39580301371773036
Warehouse,47.64965,-122.34913,1927,2,33840,2339649.75,60.88,0.5319988600857884,0.0
Office,47.65114,-122.34954,2001,5,27730,1291405.25,9.0,0.9999998064124332,0.0
Retail,47.65115,-122.35024,1911,2,20516,1109483.125,42.04,0.23883553884607303,0.0
Retail,47.65019,-122.35013,1906,3,27480,1215156.25,8.47,0.9999997942651409,0.0
Other,47.65061,-122.35159,1947,1,46958,1818867.875,30.32,0.7898033825024261,0.0
Warehouse,47.65214,-122.356,1984,1,26532,2261229.0,66.53,0.3469728187636016,0.0
Office,47.65186,-122.35531,1981,2,22388,605182.6875,9.46,0.757521669851139,0.0
Other,47.65138,-122.35565,1969,1,30730,3269018.5,73.52,0.5867210601591885,0.0
Office,47.65297,-122.35839,1986,2,35600,2195095.5,18.34,0.9585473616068185,0.0
Worship Facility,47.64905,-122.36055,1949,3,62000,2158433.5,82.34,0.13295058661756315,0.0
Office,47.64805,-122.35534,1981,2,23600,839316.3125,5.41,0.9248587075447792,0.0
Office,47.64976,-122.35684,1986,3,40067,2303732.75,16.06,0.9999996744414038,0.0
