PrimaryPropertyType,Latitude,Longitude,YearBuilt,NumberofFloors,PropertyGFABuilding(s),SiteEnergyUseWN(kBtu),TotalGHGEmissions,pct_electricity,pct_steam
Office,47.536,-122.31768,2007,3,64015,3375016.25,49.58,0.7873686534101872,0.0
Other,47.7066,-122.321,1964,3,54224,7668810.0,231.53,0.43615984748611586,0.0
Retail,47.70619,-122.32586,1965,4,124342,8729918.0,66.3,0.991260284460862,0.0
Other,47.70956,-122.3345,1996,3,55442,3313397.0,83.7,0.5611597402907047,0.0
Other,47.61233,-122.3171,1910,5,84870,1617801.25,51.11,0.2983277457598701,0.0
Warehouse,47.55152,-122.31869,1904,4,114297,2415462.5,69.44,0.37776409279796314,0.0
Warehouse,47.55901,-122.33328,1937,1,234144,7874958.5,297.43,0.16721573834325604,0.0
Retail,47.52254,-122.36627,1966,1,64984,3016373.5,35.78,0.866499788570613,0.0
Retail,47.52254,-122.36627,1965,1,67745,9589728.0,369.14,0.2736367496554647,0.0
Other,47.67767,-122.39631,1973,3,56000,2088978.125,59.34,0.40443889281990447,0.0
Other,47.54508,-122.37737,1969,2,52088,1576122.875,48.99,0.3323122887864945,0.0
Hospitality,47.62972,-122.32906,1998,5,93920,9676783.0,309.6,0.4215468095130375,0.0
Other,47.62759,-122.33661,1900,1,50000,7942537.5,225.69,0.4781751423899478,0.0
Warehouse,47.62591,-122.34084,1926,2,50292,430473.6875,3.0,1.0000007259444865,0.0
Hospitality,47.62782,-122.34045,1998,7,153315,11754087.0,338.16,0.47054160820827684,0.0
Office,47.70044,-122.34136,1957,2,91130,10005492.0,175.77,0.7090090122504721,0.0
Hospitality,47.70916,-122.33216,1968,4,64893,6211749.5,208.26,0.4218695554287886,0.0
Office,47.60105,-122.33518,1900,3,44558,1722053.0,28.27,0.7651547310100212,0.0
Warehouse,47.57199,-122.32811,1924,2,179161,10168523.0,96.43,0.862672386146936,0.0
Warehouse,47.57199,-122.32811,1965,2,58640,4327563.5,27.39,0.9078306996535117,0.0
Hospitality,47.59269,-122.33372,2005,9,153882,12871628.0,388.37,0.4841837411708915,0.0
Warehouse,47.57507,-122.35747,1916,4,79600,2411402.25,16.81,0.9999998963258826,0.0
