PrimaryPropertyType,Latitude,Longitude,YearBuilt,NumberofFloors,PropertyGFAParking,PropertyGFABuilding(s),SiteEnergyUse(kBtu),TotalGHGEmissions,pct_electricity,pct_steam,has_parking
Other,47.59545,-122.32146,1950,1,0,67356,7475577.5,204.08,0.5594217971788802,0.0,False
Office,47.53827,-122.28406,1958,1,0,54765,4253369.5,61.21,0.8391786793975929,0.0,False
Other,47.53722,-122.284,2009,5,0,89821,1950092.5,100.46,0.03459425642629773,0.0,False
Education,47.65147,-122.36122,1980,2,0,52611,4116871.5,104.26,0.6022225857668864,0.0,False
Education,47.65068,-122.36331,2001,4,37500,102100,4448582.5,129.39,0.5206822622711841,0.0,True
Education,47.70763,-122.29453,2011,2,0,236758,8355988.5,222.78,0.5732353509103082,0.0,False
Office,47.536,-122.31768,2007,3,0,64015,3242077.75,49.58,0.8196540012033949,0.0,False
Other,47.7066,-122.321,1964,3,0,54224,7265178.0,231.53,0.4603916105014908,0.0,False
Retail,47.70619,-122.32586,1965,4,0,124342,8765978.0,66.3,0.9871826052951536,0.0,False
Other,47.70956,-122.3345,1996,3,0,55442,3191228.25,83.7,0.5826424355575318,0.0,False
Other,47.61233,-122.3171,1910,5,0,84870,1381590.125,51.11,0.34933298325362594,0.0,False
Warehouse,47.55152,-122.31869,1904,4,0,114297,2100097.75,69.44,0.43449168020869505,0.0,False
Warehouse,47.55901,-122.33328,1937,1,0,234144,6744317.0,297.43,0.19524838467705477,0.0,False
Retail,47.52254,-122.36627,1966,1,0,64984,2944296.25,35.78,0.8877119617293946,0.0,False
Retail,47.52254,-122.36627,1965,1,0,67745,9230223.0,369.14,0.2842945397960591,0.0,False
Other,47.67767,-122.39631,1973,3,0,56000,1851260.5,59.34,0.4563722933644401,0.0,False
Other,47.54508,-122.37737,1969,2,0,52088,1377519.5,48.99,0.3802232926648225,0.0,False
Hospitality,47.62972,-122.32906,1998,5,30000,93920,9373179.0,309.6,0.4352010134448515,0.0,True
Other,47.62759,-122.33661,1900,1,0,50000,7548807.0,225.69,0.503115790349389,0.0,False
Warehouse,47.62591,-122.34084,1926,2,0,50292,430473.6875,3.0,1.0000007259444865,0.0,False
Hospitality,47.62782,-122.34045,1998,7,54341,153315,11171988.0,338.16,0.4950584443878744,0.0,True
Office,47.70044,-122.34136,1957,2,0,91130,9472358.0,175.77,0.7489142618976183,0.0,False
Hospitality,47.70916,-122.33216,1968,4,0,64893,6197825.0,208.26,0.42281735931556635,0.0,False
Office,47.60105,-122.33518,1900,3,0,44558,1677002.25,28.27,0.7857097389106067,0.0,False
Warehouse,47.57199,-122.32811,1924,2,0,179161,9436408.0,96.43,0.9296020265338252,0.0,False
Warehouse,47.57199,-122.32811,1965,2,0,58640,3928695.25,27.39,0.999999936365642,0.0,False
Hospitality,47.59269,-122.33372,2005,9,14567,153882,12726789.0,388.37,0.48969406187216585,0.0,True
Warehouse,47.57507,-122.35747,1916,4,0,79600,2411402.25,16.81,0.9999998963258826,0.0,False
Other,47.70281,-122.32532,2008,6,335109,84739,9134963.0,162.41,0.7657662105473224,0.0,True
Other,47.6239,-122.35756,2002,4,0,110785,10557910.0,92.91,0.9603752068354438,0.0,False
Warehouse,47.65097,-122.34227,1991,3,8161,67236,549181.375,9.63,0.770931097217199,0.0,True
Healthcare,47.59626,-122.3218,1999,5,12611,90185,10105379.0,193.94,0.7351348227513288,0.0,True
Education,47.66568,-122.31368,1928,2,0,55653,1377627.0,72.88,0.004455487588440122,0.0,False
Office,47.71895,-122.29475,1972,5,0,50759,3147042.0,49.09,0.8129961405027324,0.0,False
Worship Facility,47.66182,-122.31113,1952,2,0,56772,2439484.75,84.57,0.39972088368250713,0.0,False
Worship Facility,47.6626,-122.31164,1952,3,0,103000,4854429.5,149.93,0.4817115996843707,0.0,False
Other,47.61103,-122.33238,1914,7,0,128766,6057410.0,57.21,0.9463863268294536,0.0,False
Education,47.6079,-122.33266,1913,9,0,107572,5572503.0,254.87,0.44792367092489677,0.5520762393488169,False
Other,47.63965,-122.3783,1973,1,0,76086,3267564.0,101.41,0.4784500012853612,0.0,False
Other,47.60729,-122.34211,1980,2,0,69400,14833476.0,301.76,0.710175416739812,0.0,False
Other,47.6041,-122.33958,1900,1,0,62900,10394330.0,377.27,0.36442300754353574,0.0,False
Office,47.60271,-122.33557,1914,4,0,56500,1380293.625,44.22,0.6430023177133778,0.3569978181272843,False
Warehouse,47.59486,-122.32455,2008,4,0,203504,3785282.5,26.39,0.9999998679094625,0.0,False
Office,47.61757,-122.35122,1968,3,26731,74003,9788717.0,68.24,0.999999897841566,0.0,True
Office,47.61703,-122.35012,1981,4,18504,59158,5007401.0,68.19,0.8559534177510449,0.0,True
Office,47.61356,-122.33665,1926,10,7757,55652,3444270.0,170.51,0.39423303051154523,0.6057668969041335,True
Office,47.61375,-122.33566,1930,17,30000,174790,7739699.0,100.26,0.8703279029326593,0.0,True
Office,47.61256,-122.33808,1916,5,0,73399,3757006.0,26.19,0.9999997338306087,0.0,False
Office,47.61641,-122.34112,1968,12,0,206000,8580279.0,222.19,0.7304868524671517,0.26951300184993987,False
Office,47.60266,-122.33332,1900,7,0,89550,3903259.75,51.67,0.9107444104892072,0.08925534932693116,False
Office,47.60219,-122.33347,1900,6,0,89355,4178233.5,31.97,0.9852491489525418,0.0,False
Office,47.60542,-122.33588,1950,6,1392,89699,1835804.875,46.56,0.738107311105163,0.26189275698486203,True
Office,47.60581,-122.33664,1968,8,62993,94948,3743228.5,26.1,0.9999998664254667,0.0,True
Office,47.60671,-122.33456,1972,14,23775,162993,9641043.0,218.53,0.7764786444786109,0.2235211999365629,True
Office,47.60471,-122.33261,1907,8,0,201480,8921778.0,175.95,0.8184254304467115,0.18157444345734672,False
Office,47.60421,-122.32919,2001,14,0,310490,21169502.0,380.37,0.7616634533963057,0.0,False
Office,47.60377,-122.32971,2003,8,30660,168870,13214416.0,298.61,0.661320560817822,0.0,True
Office,47.60249,-122.32854,2006,13,52703,319539,13843866.0,216.24,0.8125610288339977,0.0,True
Office,47.60193,-122.32812,1909,7,8296,106099,2746560.75,70.17,0.5973612635365885,0.0,True
Retail,47.66024,-122.31278,1978,2,0,89200,6461937.0,89.47,0.8510025709009543,0.0,False
Office,47.661,-122.31626,1961,5,0,99005,4728488.5,119.03,0.6055237313149857,0.0,False
Office,47.66065,-122.31689,2002,6,44248,90803,4426136.0,30.86,1.0,0.0,True
Office,47.65999,-122.31741,2002,5,82720,137929,7046345.5,49.12,0.9999999290412314,0.0,True
Other,47.61591,-122.33238,1964,5,0,93660,873221.875,6.09,1.00000014314804,0.0,False
Other,47.6177,-122.3306,2000,11,195621,185760,9765777.0,72.42,0.9903791577464856,0.0,True
Other,47.6177,-122.3545,1980,4,38700,70647,8218155.5,91.13,0.9107468214735046,0.0,True
Office,47.61598,-122.34369,2002,6,83591,203880,14913424.0,103.97,0.9999998658926347,0.0,True
Office,47.61734,-122.34434,1947,3,48512,144118,5357833.0,46.03,0.9648753516580304,0.0,True
Retail,47.7019,-122.36374,1956,1,0,60880,14293972.0,384.27,0.5684366808609951,0.0,False
Office,47.60227,-122.33202,1900,5,0,50176,2933288.75,24.91,0.9670558345133938,0.0,False
Warehouse,47.54066,-122.33023,1977,1,0,128800,1809101.5,78.92,0.2055440228201679,0.0,False
Retail,47.57936,-122.29744,1980,2,0,291940,11688601.0,162.45,0.8498759603480348,0.0,False
